Character,Original voice actor,Animated debut
Bonnie's Mom,Lori Alan,Toy Story 3
Bo Peep,Annie Potts[7][11],Toy Story
Bookworm,Richard Kind[12],Toy Story 3
Bullseye,None,Toy Story 2
Bunny,Jordan Peele[22],Toy Story 4
Buster,Frank Welker[7],Toy Story 2
Buttercup,Jeff Garlin[12],Toy Story 3
Buzz Lightyear,Tim Allen[7][11][12],Toy Story
Capn Suds,Corey Burton[19],Partysaurus Rex
Chatter Telephone,Teddy Newton[12],Toy Story 3
Chuck E. Duck,Tony Cox/Don Fullilove[19],Partysaurus Rex
Chuckles,Bud Luckey[12],Toy Story 3
Chunk,Jack Angel[12],Toy Story 3
Condorman,Bob Bergen[29],Small Fry
Cuddles,Sherry Lynn[19],Partysaurus Rex
DJ Blu-Jay,Bret Parker[29],Small Fry
Dolly,Bonnie Hunt[12],Toy Story 3
Drips,Mark Walsh[19],Partysaurus Rex
Ducky,Dee Bradley Baker[11],Toy Story
Ducky,Keegan-Michael Key[22],Toy Story 4
Duke Caboom,Keanu Reeves[22],Toy Story 4
Emperor Zurg,Andrew Stanton[7],Toy Story 2
Forky,Tony Hale[22],Toy Story 4
Franklin,Jim Ward[29],Small Fry
Frog,None[11],Toy Story
Funky Monk,Angus MacLane[29],Small Fry
Gabby Gabby,Christina Hendricks[22],Toy Story 4
Giggle McDimples,Ally Maki[22],Toy Story 4
Hamm,John Ratzenberger[7][11][12],Toy Story
Harmony's Mother,Patricia Arquette,Toy Story 4
Hannah Phillips,Sarah Freeman[11],Toy Story
Jessie,Joan Cusack[7][12],Toy Story 2
Ken,Michael Keaton[12],Toy Story 3
Koala Kopter,Carlos Alazraqui[29],Small Fry
Legs,None[11],Toy Story
Lizard Wizard,Josh Cooley[29],Small Fry
Lots-O'-Huggin' Bear,Ned Beatty[12],Toy Story 3
Magic 8-Ball,None[11],Toy Story
Mini Buzz Lightyear,Teddy Newton[29],Small Fry
Mini Zurg,Jess Harnell[29],Small Fry
Molly Davis,Hannah Unkrich (Toy Story 2)[39]Beatrice Miller (Toy Story 3)[12],Toy Story
Mr. Potato Head,Don Rickles[7][11][12],Toy Story
Mr. Pricklepants,Timothy Dalton[12],Toy Story 3
Mr. Shark,Jack Angel[11],Toy Story
Mr. Spell,Jeff Pidgeon[11],Toy Story
Mrs. Potato Head,Estelle Harris[7][12],Toy Story 2
Neptuna,Jane Lynch[29],Small Fry
Nervous Sys-Tim,Kitt Hirasaki[29],Small Fry
Peas-in-a-Pod,Charlie BrightAmber KronerBrianna Malwand[12],Toy Story 3
Pizza Bot,Jason Topolski[29],Small Fry
RC,None[11],Toy Story
Recycle Ben,Peter Sohn[29],Small Fry
Rex,Wallace Shawn[7][11][12],Toy Story
Robot,Jeff Pidgeon[11],Toy Story
Rocky Gibraltar,Jack Angel[11],Toy Story
Roller Bob,None[11],Toy Story
Roxy Boxy,Emily Forbes[29],Small Fry
Sarge,R. Lee Ermey[7][11][12],Toy Story
Sheriff Woody,Tom Hanks[7][11][12],Toy Story
Sid Phillips,Erik von Detten[11][12],Toy Story
Slinky Dog,Jim Varney[7][11]Blake Clark[12],Toy Story
Snake,None[11],Toy Story
Sparks,Jan Rabson[12],Toy Story 3
Stinky Pete the Prospector,Kelsey Grammer[7],Toy Story 2
Stretch,Whoopi Goldberg[12],Toy Story 3
Super Pirate,Angus MacLane[29],Small Fry
T-Bone,Angus MacLane[29],Small Fry
Tae-Kwon Doe,Lori Alan[29],Small Fry
Totoro,None[12],Toy Story 3
Tour Guide Barbie,Jodi Benson[7],Toy Story 2
Trixie,Kristen Schaal[12],Toy Story 3
