Title,Year,Rated,Released,Runtime,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,genres
Ewoks: The Battle for Endor,1985,TV-G,24 Nov 1985,94,Jim Wheat| Ken Wheat,Ken Wheat (screenplay)| Jim Wheat (screenplay)| George Lucas (story),Wilford Brimley| Warwick Davis| Aubree Miller| Siân Phillips,English,USA,Won 1 Primetime Emmy. Another 2 nominations.,-1.0,5.5,8753,tt0089110,Adventure|Family|Fantasy|Sci-Fi
Higglytown Heroes,2004,TV-Y,12 Sep 2004,30,,Denis Morella| George Evelyn| Holly Huckins,Robert Grovich| Frankie Ryan Manriquez| Liliana Mumy,English,United States| South Korea,1 win & 1 nomination,-1.0,5.0,525,tt0406419,Animation|Family
The Island at the Top of the World,1974,G,20 Dec 1974,93,Robert Stevenson,John Whedon| Donald G. Payne,David Hartman| Donald Sinden| Jacques Marin,English|Swedish|Norwegian|Danish|Icelandic|French,United States,Nominated for 1 Oscar. 1 nomination total,-1.0,6.2,2737,tt0071671,Adventure|Family|Fantasy
Made in A Day,2020,G,,-1,,,Craig Whitney| Shawn Henson| Jat Dhillon,English,United States,,-1.0,8.0,24,tt12833474,Documentary
Night at the Museum,2006,PG,22 Dec 2006,108,Shawn Levy,Robert Ben Garant| Thomas Lennon| Milan Trenc,Ben Stiller| Carla Gugino| Ricky Gervais,English|Italian|Hebrew,United States| United Kingdom,2 wins & 8 nominations,48.0,6.4,337517,tt0477347,Action|Comedy|Fantasy|IMAX
Sharks of the Bermuda Triangle,2020,G,01 Aug 2020,43,,,Austin Gallagher| Mike New| Yannis P. Papastamatiou,English,United States,,-1.0,6.1,22,tt13063526,Documentary
The Big Year,2011,PG,14 Oct 2011,100,David Frankel,Howard Franklin| Mark Obmascik,Owen Wilson| Jack Black| Steve Martin,English,United States,1 win,53.0,6.2,44612,tt1053810,Comedy
The Last Ice,2020,G,22 May 2020,83,Scott Ressler,,,English|Inuktitut|Greenlandic,United States,3 nominations,-1.0,7.3,84,tt12812506,Documentary
Third Man on the Mountain,1959,Approved,10 Nov 1959,107,Ken Annakin,Eleanore Griffin| James Ramsey Ullman,Michael Rennie| James MacArthur| Janet Munro,English,United States| United Kingdom,,-1.0,7.1,1031,tt0053352,Adventure|Drama|Family
Walk the Prank,2016,TV-Y7,01 Apr 2016,22,,Trevor Moore| Adam Small,Jennifer Aspinall| Cody Veith| Jillian Shea Spaeder,English,United States,8 nominations,-1.0,4.2,459,tt5486088,Comedy|Reality-TV
Pickle and Peanut,2015,TV-Y7,07 Sep 2015,30,,Noah Jones| Joel Trussell,Johnny Pemberton| Jon Heder| Joel Trussell,English,United States,1 win & 4 nominations,-1.0,3.7,1356,tt3824018,Animation|Short|Adventure
The Mighty Ducks: Game Changers,2021,TV-PG,26 Mar 2021,-1,,Steven Brill| Josh Goldsmith| Cathy Yuspa,Lauren Graham| Brady Noon| Maxwell Simkins,English,United States,1 win & 1 nomination,-1.0,7.4,4454,tt7939768,Comedy|Drama|Sport
Mexico Untamed,2018,G,15 Sep 2018,44,,,Juan Monsalvez,English,New Zealand,,-1.0,-1.0,22,tt10389464,Documentary
The Falcon and the Winter Soldier,2021,TV-14,19 Mar 2021,50,,Malcolm Spellman,Anthony Mackie| Sebastian Stan| Wyatt Russell,English,United States,Nominated for 5 Primetime Emmys. 2 wins & 38 nominations total,-1.0,7.3,192218,tt9208876,Action|Adventure|Drama
Doc McStuffins: The Doc Is In,2020,G,04 Dec 2020,23,Chris Anthony Hamilton,,Laya DeLeon Hayes| Lara Jill Miller| Robbie Rist,English,United States,,-1.0,-1.0,-1,tt13522660,Animation
Marvel Studios: Assembled,2021,TV-14,12 Mar 2021,58,,,Kevin Feige| Andy Park| Florence Pugh,English,United States,,-1.0,8.0,2164,tt14094206,Documentary
Miss Peregrine's Home for Peculiar Children,2016,PG-13,30 Sep 2016,127,Tim Burton,Ransom Riggs| Jane Goldman,Eva Green| Asa Butterfield| Samuel L. Jackson,English,United States| United Kingdom| Belgium| Canada,2 wins & 12 nominations,57.0,6.7,167697,tt1935859,Adventure|Drama|Family
Own the Room,2021,TV-PG,12 Mar 2021,91,Cristina Costantini| Darren Foster,,Alondra Toledo| Daniela Blanco| Henry Onyango,English,United States,2 nominations,68.0,6.8,221,tt14017018,Documentary
Garfield: A Tail of Two Kitties,2006,PG,16 Jun 2006,82,Tim Hill| Steven Rimdzius,Joel Cohen| Alec Sokolow| Jim Davis,Breckin Meyer| Jennifer Love Hewitt| Billy Connolly,English,United Kingdom| United States,4 nominations,37.0,5.0,42179,tt0455499,Animation|Adventure|Comedy
Dog with a Blog,2012,TV-G,12 Oct 2012,22,,Michael B. Kaplan| Philip Stark,Genevieve Hannelius| Blake Michael| Francesca Capaldi,English,United States,Nominated for 4 Primetime Emmys. 2 wins & 9 nominations total,-1.0,5.0,6099,tt2222135,Comedy|Drama|Family
Mickey Go Local,2019,G,24 Jul 2019,-1,,,Azran Bin Ahmad| Rozita Binti Mohamed Hussain| Shamsir Bin Mohd Shahar,None,Singapore,,-1.0,5.8,56,tt13845582,Animation|Short|Comedy
Okavango: River of Dreams - Director's Cut,2020,G,26 Jan 2020,94,Beverly Joubert| Dereck Joubert,,,English,Austria| South Africa,6 wins,-1.0,8.3,18,tt10023274,Documentary
Pair of Kings,2010,TV-Y7,10 Sep 2010,22,,Dan Cross| David Hoge,Kelsey Asbille| Larramie Doc Shaw| Geno Segers,English,United States,Nominated for 2 Primetime Emmys. 2 wins & 3 nominations total,-1.0,5.9,3991,tt1571313,Comedy|Family|Fantasy
Secrets of Sulphur Springs,2021,TV-PG,15 Jan 2021,24,,Tracey Thomson,Preston Oliver| Kyliegh Curran| Elle Graham,English,United States,,-1.0,7.8,2506,tt10329642,Adventure|Drama|Family
