Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Language,Country,Awards,Metascore,IMDBRating,imdbVotes,imdbID,total_gross,inflation_adjusted_gross,movieId,title,genres,movie_title,year
Armageddon,1998,PG-13,01 Jul 1998,151.0,Action|Adventure|Sci-Fi,Action|Adventure|Sci-Fi,JonathanHensleigh|J.J.Abrams|TonyGilroy,BruceWillis|BillyBobThornton|BenAffleck,English|Russian|Indonesian,UnitedStates,Nominated for 4 Oscars. 15 wins & 40 nominations total,42.0,6.7,416798,tt0120591,201578182.0,335102085.0,1917.0,Armageddon (1998),Action|Romance|Sci-Fi|Thriller,Armageddon,1998.0
Around the World in 80 Days,2004,PG,16 Jun 2004,120.0,Action|Adventure|Comedy,Action|Adventure|Comedy,JulesVerne|DavidN.Titcher|DavidBenullo,JackieChan|SteveCoogan|JimBroadbent,English|Cantonese|French|German|Hindi|Turkish,UnitedStates|Germany|Ireland|UnitedKingdom,2 wins & 2 nominations,49.0,5.8,88965,tt0327437,24004159.0,34433070.0,8526.0,Around the World in 80 Days (2004),Adventure|Children|Comedy,Around the World in 80 Days,2004.0
Aspen Extreme,1993,PG-13,22 Jan 1993,113.0,Drama|Romance|Sport,Drama|Romance|Sport,PatrickHasburgh,PaulGross|PeterBerg|FinolaHughes,English,UnitedStates,,32.0,6.0,2931,tt0106315,7843388.0,14708116.0,5580.0,Aspen Extreme (1993),Drama|Romance|Sport,Aspen Extreme,1993.0
Atlantis: The Lost Empire,2001,PG,15 Jun 2001,95.0,Animation|Action|Adventure,Animation|Action|Adventure,TabMurphy|KirkWise|GaryTrousdale,MichaelJ.Fox|JimVarney|CoreyBurton,English|French|Spanish,UnitedStates,2 wins & 14 nominations,52.0,6.9,115183,tt0230011,84052762.0,128604048.0,4366.0,Atlantis: The Lost Empire (2001),Adventure|Animation|Children|Fantasy,Atlantis: The Lost Empire,2001.0
Avengers: Age of Ultron,2015,PG-13,01 May 2015,141.0,Action|Adventure|Sci-Fi,Action|Adventure|Sci-Fi,JossWhedon|StanLee|JackKirby,RobertDowneyJr.|ChrisEvans|MarkRuffalo,English|Korean,UnitedStates,8 wins & 51 nominations,66.0,7.3,823277,tt2395427,459005868.0,524759068.0,122892.0,Avengers: Age of Ultron (2015),Action|Adventure|Sci-Fi,Avengers: Age of Ultron,2015.0
Avengers: Endgame,2019,PG-13,26 Apr 2019,181.0,Action|Adventure|Drama,Action|Adventure|Drama,ChristopherMarkus|StephenMcFeely|StanLee,RobertDowneyJr.|ChrisEvans|MarkRuffalo,English|Japanese|Xhosa|German,UnitedStates,Nominated for 1 Oscar. 70 wins & 132 nominations total,78.0,8.4,1030512,tt4154796,858373000.0,909786674.0,,,Action|Adventure|Drama,,
Avengers: Infinity War,2018,PG-13,27 Apr 2018,149.0,Action|Adventure|Sci-Fi,Action|Adventure|Sci-Fi,ChristopherMarkus|StephenMcFeely|StanLee,RobertDowneyJr.|ChrisHemsworth|MarkRuffalo,English,UnitedStates,Nominated for 1 Oscar. 46 wins & 79 nominations total,68.0,8.4,995851,tt4154756,678815482.0,732510966.0,,,Action|Adventure|Sci-Fi,,
Babes in Toyland,1961,Approved,14 Dec 1961,106.0,Comedy|Family|Fantasy,Comedy|Family|Fantasy,VictorHerbert|GlenMacDonough|WardKimball,RayBolger|TommySands|AnnetteFunicello,English,UnitedStates,Nominated for 2 Oscars. 1 win & 6 nominations total,55.0,6.2,4145,tt0054649,10218316.0,92603915.0,2017.0,Babes in Toyland (1961),Children|Fantasy|Musical,Babes in Toyland,1961.0
Baby: Secret of the Lost Legend,1985,PG,22 Mar 1985,95.0,Adventure|Family|Sci-Fi,Adventure|Family|Sci-Fi,CliffordGreen|EllenGreen|DavidLeeMiller,WilliamKatt|SeanYoung|PatrickMcGoohan,English|French,UnitedStates,1 nomination,-1.0,5.1,3292,tt0088760,14276095.0,35951612.0,,,Adventure|Family|Sci-Fi,,
Bad Company,1995,R,20 Jan 1995,108.0,Crime|Drama|Thriller,Crime|Drama|Thriller,RossThomas,EllenBarkin|LaurenceFishburne|FrankLangella,English,UnitedStates,,-1.0,5.4,3044,tt0112443,3523909.0,6265574.0,384.0,Bad Company (1995),Crime|Drama|Thriller,Bad Company,1995.0
Bad Company,1995,R,20 Jan 1995,108.0,Crime|Drama|Thriller,Crime|Drama|Thriller,RossThomas,EllenBarkin|LaurenceFishburne|FrankLangella,English,UnitedStates,,-1.0,5.4,3044,tt0112443,30157016.0,45423271.0,384.0,Bad Company (1995),Crime|Drama|Thriller,Bad Company,1995.0
Beaches,1988,PG-13,13 Jan 1989,123.0,Comedy|Drama|Music,Comedy|Drama|Music,IrisRainer|MaryAgnesDonoghue,BetteMidler|BarbaraHershey|JohnHeard,English,UnitedStates,Nominated for 1 Oscar. 1 win & 6 nominations total,46.0,7.0,25694,tt0094715,57041866.0,130656250.0,4474.0,Beaches (1988),Comedy|Drama|Musical,Beaches,1988.0
Bears,2014,G,18 Apr 2014,78.0,Documentary|Family,Documentary|Family,AlastairFothergill|AdamChapman|PamelaRibon,JohnC.Reilly,English,UnitedStates,2 nominations,68.0,7.3,6748,tt2458776,17780194.0,20351358.0,110678.0,Bears (2014),Documentary|Family,Bears,2014.0
Beauty and the Beast,1991,G,22 Nov 1991,84.0,Animation|Family|Fantasy,Animation|Family|Fantasy,LindaWoolverton|BrendaChapman|ChrisSanders,PaigeO'Hara|RobbyBenson|JesseCorti,English|French,UnitedStates,Won 2 Oscars. 31 wins & 32 nominations total,95.0,8.1,438320,tt0101414,218951625.0,435604418.0,595.0,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,Beauty and the Beast,1991.0
Beauty and the Beast,1991,G,22 Nov 1991,84.0,Animation|Family|Fantasy,Animation|Family|Fantasy,LindaWoolverton|BrendaChapman|ChrisSanders,PaigeO'Hara|RobbyBenson|JesseCorti,English|French,UnitedStates,Won 2 Oscars. 31 wins & 32 nominations total,95.0,8.1,438320,tt0101414,504014165.0,557166768.0,595.0,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,Beauty and the Beast,1991.0
Beauty and the Beast,1991,G,22 Nov 1991,84.0,Animation|Family|Fantasy,Animation|Family|Fantasy,LindaWoolverton|BrendaChapman|ChrisSanders,PaigeO'Hara|RobbyBenson|JesseCorti,English|French,UnitedStates,Won 2 Oscars. 31 wins & 32 nominations total,95.0,8.1,438320,tt0101414,25487028.0,38389216.0,595.0,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX,Beauty and the Beast,1991.0
Bedknobs and Broomsticks,1971,G,13 Dec 1971,117.0,Animation|Adventure|Comedy,Animation|Adventure|Comedy,RalphWright|TedBerman|BillWalsh,AngelaLansbury|DavidTomlinson|RoddyMcDowall,English|German,UnitedStates,Won 1 Oscar. 2 wins & 5 nominations total,59.0,7.1,36809,tt0066817,17871174.0,119569185.0,1031.0,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,Bedknobs and Broomsticks,1971.0
Bedtime Stories,2008,PG,25 Dec 2008,99.0,Adventure|Comedy|Family,Adventure|Comedy|Family,MattLopez|TimHerlihy,AdamSandler|KeriRussell|CourteneyCox,English,UnitedStates,3 wins & 5 nominations,33.0,6.0,93537,tt0960731,110101975.0,138569049.0,65088.0,Bedtime Stories (2008),Adventure|Children|Comedy,Bedtime Stories,2008.0
Before and After,1996,PG-13,23 Feb 1996,108.0,Crime|Drama|Mystery,Crime|Drama|Mystery,RosellenBrown|TedTally,MerylStreep|LiamNeeson|EdwardFurlong,English,UnitedStates,,-1.0,6.1,8936,tt0115645,8642118.0,14925141.0,113.0,Before and After (1996),Crime|Drama|Mystery,Before and After,1996.0
