imdb_id,awards,released,awards_id
tt0114296,Nominated for 1 Oscar. 2 nominations total,03 Mar 1995,aw0357
tt0436595,1 win & 1 nomination,27 Jan 2006,aw0358
tt0086220,1 nomination,04 Nov 1983,aw0359
tt0128445,16 wins & 16 nominations,19 Feb 1999,aw0360
tt0091877,1 win & 3 nominations,27 Jun 1986,aw0361
tt0105316,3 nominations,25 Sep 1992,aw0362
tt0102849,,22 Feb 1991,aw0363
tt1028576,3 wins & 6 nominations,08 Oct 2010,aw0364
tt0120107,,31 Jan 1997,aw0365
tt9376612,Nominated for 1 Oscar. 17 wins & 52 nominations total,03 Sep 2021,aw0366
tt0300471,4 nominations,07 Feb 2003,aw0367
tt0184894,1 win & 7 nominations,26 May 2000,aw0368
tt0096098,2 nominations,12 Feb 1988,aw0369
tt0338427,1 win & 7 nominations,04 Nov 2005,aw0370
tt0286106,3 wins & 34 nominations,02 Aug 2002,aw0371
tt0124879,3 wins & 3 nominations,11 Sep 1998,aw0372
tt0105417,9 wins & 10 nominations,29 May 1992,aw0373
tt0108147,1 win & 3 nominations,10 Dec 1993,aw0374
tt0120828,2 wins & 5 nominations,12 Jun 1998,aw0375
tt0405325,1 nomination,29 Jul 2005,aw0376
tt0053285,Nominated for 1 Oscar. 4 wins & 6 nominations total,29 Jan 1959,aw0377
tt0281373,1 win,18 Jan 2002,aw0378
tt0029583,Won 1 Oscar. 11 wins & 6 nominations total,04 Feb 1938,aw0379
tt3778644,Nominated for 1 Oscar. 6 wins & 26 nominations total,25 May 2018,aw0380
tt0086336,2 wins & 7 nominations,29 Apr 1983,aw0381
tt0108186,1 nomination,02 Jul 1993,aw0382
tt0038969,Won 2 Oscars. 2 wins & 1 nomination total,20 Nov 1946,aw0383
tt0279781,1 win & 1 nomination,22 Mar 2002,aw0384
tt0100666,,27 Apr 1990,aw0385
tt0088161,Nominated for 1 Oscar. 2 wins & 9 nominations total,09 Mar 1984,aw0386
tt0117723,,24 May 1996,aw0387
tt0111271,,28 Oct 1994,aw0388
tt0094025,2 wins,05 Aug 1987,aw0389
tt7768640,,14 Dec 2015,aw0390
tt2527336,Nominated for 4 Oscars. 25 wins & 99 nominations total,15 Dec 2017,aw0391
tt11464830,,16 Dec 2019,aw0392
tt0441796,,24 Mar 2006,aw0393
tt0100691,2 nominations,02 Feb 1990,aw0394
tt0462590,1 win & 3 nominations,11 Aug 2006,aw0395
tt1023481,2 wins & 3 nominations,14 Feb 2008,aw0396
tt0430634,,28 Apr 2006,aw0397
tt0105481,,03 Apr 1992,aw0398
tt4191054,1 win & 4 nominations,23 Jan 2015,aw0399
tt0162677,6 nominations,02 Jul 1999,aw0400
tt0108255,2 nominations,28 May 1993,aw0401
tt0986263,,25 Sep 2009,aw0402
tt0256415,3 wins & 6 nominations,27 Sep 2002,aw0403
tt0108265,1 win & 1 nomination,05 Mar 1993,aw0404
tt1027862,1 nomination,01 Aug 2008,aw0405
tt0103035,,17 Aug 1990,aw0406
tt0111359,,24 Mar 1995,aw0407
tt0398286,Nominated for 1 Oscar. 10 wins & 41 nominations total,24 Nov 2010,aw0408
tt0120855,Won 1 Oscar. 11 wins & 23 nominations total,18 Jun 1999,aw0409
tt0350194,2 nominations,16 Jan 2004,aw0410
tt0147800,2 wins & 13 nominations,31 Mar 1999,aw0411
tt0111400,,23 Sep 1994,aw0412
tt0084783,3 nominations,30 Jul 1982,aw0413
tt0120317,2 nominations,14 Feb 1997,aw0414
tt0120657,2 wins & 2 nominations,27 Aug 1999,aw0415
tt0054594,Nominated for 3 Oscars. 1 win & 8 nominations total,16 Mar 1961,aw0416
tt0106223,,02 Apr 1993,aw0417
tt0109067,,07 Jan 1994,aw0418
tt0318974,1 nomination,09 Apr 2004,aw0419
tt0072653,,01 Jul 1975,aw0420
tt0065421,3 wins,24 Dec 1970,aw0421
tt0115580,,25 Oct 1996,aw0422
tt0848228,Nominated for 1 Oscar. 38 wins & 80 nominations total,04 May 2012,aw0423
tt3691740,Nominated for 1 BAFTA Film Award4 wins & 26 nominations total,01 Jul 2016,aw0424
tt0112499,,29 Sep 1995,aw0425
tt0088814,,24 Jul 1985,aw0426
tt0078869,Nominated for 2 Oscars. 8 nominations total,21 Dec 1979,aw0427
tt0065482,,01 Jul 1970,aw0428
tt0106536,1 win,12 Feb 1993,aw0429
tt0499448,4 wins & 21 nominations,16 May 2008,aw0430
tt0363771,Won 1 Oscar. 18 wins & 46 nominations total,09 Dec 2005,aw0431
tt0090863,Won 1 Oscar. 3 wins & 10 nominations total,17 Oct 1986,aw0432
tt0245844,,25 Jan 2002,aw0433
tt0276033,4 nominations,26 Jul 2002,aw0434
tt0198386,1 win,25 Aug 2000,aw0435
tt0082263,,06 Mar 1981,aw0436
tt0104114,4 wins,04 Dec 1992,aw0437
tt0101746,3 nominations,16 Aug 1991,aw0438
tt0120917,Nominated for 1 Oscar. 7 wins & 27 nominations total,15 Dec 2000,aw0439
tt1837703,2 wins & 3 nominations,18 Oct 2013,aw0440
tt2025690,2 wins,29 Jan 2016,aw0441
tt0082406,1 win & 2 nominations,10 Jul 1981,aw0442
tt0492956,3 nominations,28 Sep 2007,aw0443
tt1979388,9 wins & 41 nominations,25 Nov 2015,aw0444
tt0095238,,04 Nov 1988,aw0445
tt0091149,1 win & 3 nominations,02 Jul 1986,aw0446
