Title,Year,Rated,Released,Runtime,Awards,Metascore,IMDBRating,imdbVotes,imdbID
Super Mario Bros.,1993,PG,28 May 1993,104,2 nominations,35.0,4.1,"53,306",tt0108255
Swing Kids,1993,PG-13,05 Mar 1993,112,1 win & 1 nomination,39.0,6.8,"16,225",tt0108265
Taking Care of Business,1990,R,17 Aug 1990,108,NA,42.0,6.4,"8,607",tt0103035
Terminal Velocity,1994,PG-13,23 Sep 1994,102,NA,-1.0,5.5,"13,667",tt0111400
Tex,1982,PG,30 Jul 1982,103,3 nominations,78.0,6.5,"2,204",tt0084783
The 13th Warrior,1999,R,27 Aug 1999,102,2 wins & 2 nominations,42.0,6.6,"122,450",tt0120657
The Adventures of Huck Finn,1993,PG,02 Apr 1993,108,NA,-1.0,6.2,"8,499",tt0106223
The Apple Dumpling Gang,1975,G,01 Jul 1975,100,NA,59.0,6.4,"5,711",tt0072653
The Aristocats,1970,G,24 Dec 1970,78,3 wins,66.0,7.1,"101,059",tt0065421
The Black Hole,1979,PG,21 Dec 1979,98,Nominated for 2 Oscars. 8 nominations total,52.0,6.0,"25,130",tt0078869
The Boatniks,1970,G,01 Jul 1970,99,NA,-1.0,5.5,770,tt0065482
The Cemetery Club,1993,PG-13,12 Feb 1993,106,1 win,-1.0,5.8,853,tt0106536
The Crew,2000,PG-13,25 Aug 2000,88,1 win,37.0,5.6,"5,944",tt0198386
The Devil and Max Devlin,1981,PG,06 Mar 1981,96,NA,-1.0,5.1,"1,289",tt0082263
The Emperor's New Groove,2000,G,15 Dec 2000,78,Nominated for 1 Oscar. 7 wins & 27 nominations total,70.0,7.4,"195,606",tt0120917
The Finest Hours,2016,PG-13,29 Jan 2016,117,2 wins,58.0,6.7,"65,704",tt2025690
The Fox and the Hound,1981,G,10 Jul 1981,83,1 win & 2 nominations,65.0,7.3,"90,916",tt0082406
The Great Mouse Detective,1986,G,02 Jul 1986,74,1 win & 3 nominations,73.0,7.2,"48,473",tt0091149
The Haunted Mansion,2003,PG,26 Nov 2003,88,1 win & 4 nominations,34.0,5.1,"47,881",tt0338094
The Journey of Natty Gann,1985,PG,27 Sep 1985,101,Nominated for 1 Oscar. 1 win & 3 nominations total,66.0,7.0,"6,028",tt0089385
TRON,1982,PG,09 Jul 1982,96,Nominated for 2 Oscars. 2 wins & 8 nominations total,58.0,6.8,"118,943",tt0084827
101 Dalmatians,1996,G,27 Nov 1996,103,Nominated for 1 BAFTA Film Award3 wins & 10 nominations total,49.0,5.7,"109,762",tt0115433
25th Hour,2002,R,10 Jan 2003,135,4 wins & 17 nominations,68.0,7.6,"176,763",tt0307901
3 Ninjas Kick Back,1994,PG,06 May 1994,93,3 nominations,39.0,4.6,"9,141",tt0109015
A Far Off Place,1993,PG,12 Mar 1993,108,NA,-1.0,6.5,"3,556",tt0106868
A Goofy Movie,1995,G,07 Apr 1995,78,5 nominations,-1.0,6.9,"52,129",tt0113198
