Character,Original voice actor,Animated debut
Fairy Godmother,Verna Felton[16]Russi Taylor,Cinderella
Fairy Mary,Jane Horrocks,Disney Fairies
Faline,Cammie King[30]Ann Gillis[30],Bambi
Fall-Apart Rabbit,Frank Welker,Bonkers
Faloo,Carla Meyer[47],The Rescuers Down Under
Fat Cat,Jim Cummings,Chip 'n Dale Rescue Rangers
Father Wolf,Ben Wright[8],The Jungle Book
Fats Crow,James Baskett[57],Dumbo
Fauna,Barbara Jo Allen[27],Sleeping Beauty
Felicia the Cat,Frank Welker[32],The Great Mouse Detective
Félix Madrigal,Mauro Castillo,Encanto
Felony,Ali Wong,Ralph Breaks the Internet
Fens,April Winchell,Amphibia
Fenton Crackshell (Gizmoduck),Hamilton Camp,DuckTales
Fenton Q. Harcourt,David Ogden Stiers[25],Atlantis: The Lost Empire
Ferb Fletcher,Thomas Sangster,Phineas and Ferb
Ferdie Fieldmouse,None,Mickey's Steam Roller
Ferdinand the Bull,Milt Kahl,Silly Symphonies
Ferguson O'Durguson,Nate Torrence,Star vs. the Forces of Evil
Fflewddur Fflam,Nigel Hawthorne[48],The Black Cauldron
Fidget,Candy Candido[32],The Great Mouse Detective
Fiddler Pig,Mary Moder,Three Little Pigs
Fife the Piccolo,Paul Reubens,Beauty and the Beast: The Enchanted Christmas
Fifer Pig,Dorothy Compton,Three Little Pigs
Fifi the Featherduster,Kimmy Robertson[23],Beauty and the Beast
Figaro the Cat,Clarence Nash,Pinocchio
Figment,Dave Goelz,Journey into Imagination with Figment
Finnick,"Tommy ""Tiny"" Lister Jr.",Zootopia
First Ancestor Fa,George Takei[45],Mulan
The Firebird,Hugo Weaving,Fantasia 2000
Fish Out of Water,Dan Molina[1],Chicken Little
"Fix-It Felix, Jr.",Jack McBrayer,Wreck-It Ralph
Flaps the Vulture,Chad Stuart[8],The Jungle Book
Flash,Raymond S. Persi,Zootopia
Flintheart Glomgold,Hal Smith,DuckTales
Flit,Frank Welker[35],Pocahontas
Flora,Verna Felton[27],Sleeping Beauty
Flotsam and Jetsam,Paddi Edwards[5],The Little Mermaid
Flounder,Jason Marin[5],The Little Mermaid
Flower,Stan Alexander[30]Sterling Holloway[30],Bambi
Flunkey the Baboon,Leo De Lyon[8],The Jungle Book
Footman,Larry Grey,Cinderella
Forte the Pipe Organ,Tim Curry,Beauty and the Beast: The Enchanted Christmas
Foxy Loxy,Amy Sedaris[1],Chicken Little
Fozzie Bear,Eric Bauza,Muppet Babies
Fran,Edie McClurg,Higglytown Heroes
Francis,Roscoe Lee Browne[53],Oliver & Company
"Francis Johanna ""Fran"" Phillips Sinclair",Jessica Walter,Dinosaurs
Francois,Bronson Pinchot[19],Lady and the Tramp II: Scamp's Adventure
Francois,Ed Gilbert[47],The Rescuers Down Under
Frank,Wayne Robson[47],The Rescuers Down Under
Frankie the Frog,Aurian Redson[38],Meet the Robinsons
Franny Robinson,Nicole Sullivan[38],Meet the Robinsons
Fred,T.J. Miller[34],Big Hero 6
Friar Tuck,Andy Devine[12],Robin Hood
Friend Owl,Will Wright[30],Bambi
Frou-Frou,Nancy Kulp[2],The Aristocats
Gabby,Jessica McKenna,Amphibia
Gadget Hackwrench,Tress MacNeille,Chip 'n Dale Rescue Rangers
"Gaetan ""Mole"" Moliére",Corey Burton[25],Atlantis: The Lost Empire
Captain Gantu,Kevin Michael Richardson[7],Lilo & Stitch
Gaston,Richard White[23],Beauty and the Beast
Gazelle,Shakira,Zootopia
General Hologram,Dennis Haysbert,Wreck-It Ralph
General Li,James Shigeta[45],Mulan
General Yunan,Zehra Fazal,Amphibia
Genie,Robin Williams[3],Aladdin
Geoff,Eric Edelstein,The Ghost and Molly McGee
George Darling,Hans Conried[43],Peter Pan
Georges Hautecourt,Charles Lane[2],The Aristocats
Georgette,Bette Midler[53],Oliver & Company
Geppetto,Christian Rub[37],Pinocchio
The Ghost Council,Grey GriffinJohn DiMaggioGreg BaldwinKari Wahlgren,The Ghost and Molly McGee
Giddy the Elephant,Dorothy Scott[44],Dumbo
Gideon,Mel Blanc[37],Pinocchio
Giselle,Amy Adams,Enchanted
Gladstone Gander,Rob Paulsen,DuckTales
Gliss,Grey DeLisle,Secret of the Wings
Glittering Goldie,Joan Gerber,DuckTales
Globgor Butterfly,Jaime Camil,Star vs. the Forces of Evil
Gloria Sato,Anna Akana,Big City Greens
Glossaryck,Jeffrey TamborKeith David,Star vs. the Forces of Evil
Gloyd Orangeboar,None,Wreck-It Ralph
Go Go Tomago,Jamie Chung[34],Big Hero 6
Gonzo,Ben Diskin,Muppet Babies
Goob,Matthew Josten[38],Meet the Robinsons
Goofy,Pinto ColvigBill Farmer,Mickey's Revue
Goosey Loosey,Mark Walton[1],Chicken Little
Gopher,Howard MorrisMichael Gough[46],Winnie the Pooh and the Honey Tree
Gordie Gibble,Will Forte,Kick Buttowski: Suburban Daredevil
Gosalyn Mallard,Christine Cavanaugh,Darkwing Duck
Governor John Ratcliffe,David Ogden Stiers[35],Pocahontas
Grace,Jennifer Tilly[11],Home on the Range
Gramma Alice,Artemis Pebdani,Big City Greens
Gramma Tala,Rachel House,Moana
Gramps,Larry Clemmons[36],The Rescuers
Grand Councilwoman,Zoe Caldwell[7],Lilo & Stitch
The Grand Duke,Luis van Rooten[16]Rob Paulsen,Cinderella
Grandma Duck,June Foray,"This is Your Life, Donald Duck"
Grandma Nin,Sumalee Montano,The Ghost and Molly McGee
